version,shape,records,nodes,round,action,modelMs,visibleMs,layoutMs,totalMs
ad66e4a,wide,1000,1011,0,cold,63.303404,4.610860000000002,42.29752000000002,110.21178400000002
ad66e4a,wide,1000,1011,0,rebuild,10.062805000000026,2.510244,22.907617999999957,35.48066699999998
ad66e4a,wide,1000,1011,0,switch-back,62.25994599999996,1.461400000000026,37.35534700000005,101.07669300000003
before,wide,1000,1011,0,cold,44.96986700000002,3.220792999999958,727.8691650000001,776.059825
before,wide,1000,1011,0,rebuild,10.330348999999842,2.187996000000112,602.83656,615.3549049999999
before,wide,1000,1011,0,switch-back,46.437347000000045,1.342881000000034,683.787124,731.567352
working,wide,1000,1011,0,cold,47.43102200000021,3.0893629999995937,309.9331350000002,360.45352
working,wide,1000,1011,0,rebuild,7.41689899999983,2.3761349999999766,6.8043030000003455,16.597337000000152
working,wide,1000,1011,0,switch-back,43.86899200000016,1.505685000000085,6.900494999999864,52.27517200000011
ad66e4a,wide,1000,1011,1,cold,39.79057899999998,1.3991139999998268,35.73988499999996,76.92957799999976
ad66e4a,wide,1000,1011,1,rebuild,7.646490999999969,0.9709680000000844,20.54485399999976,29.162312999999813
ad66e4a,wide,1000,1011,1,switch-back,53.21801099999993,1.0026170000001002,37.33398699999998,91.55461500000001
before,wide,1000,1011,1,cold,45.638522000000194,1.0160549999995965,636.4581470000003,683.1127240000001
before,wide,1000,1011,1,rebuild,7.785085999999865,1.032474000000093,582.7311709999999,591.5487309999999
before,wide,1000,1011,1,switch-back,42.68876100000034,0.9718619999994189,642.2044450000003,685.8650680000001
working,wide,1000,1011,1,cold,48.30773399999998,1.2536300000001575,301.4469429999999,351.00830700000006
working,wide,1000,1011,1,rebuild,7.591567000000396,0.9587270000001809,6.673698999999942,15.223993000000519
working,wide,1000,1011,1,switch-back,45.44514600000002,1.037427000000207,6.3062849999996615,52.78885799999989
ad66e4a,wide,1000,1011,2,cold,40.4648100000004,1.0625069999996413,37.53205000000071,79.05936700000075
ad66e4a,wide,1000,1011,2,rebuild,8.52367299999969,1.070198999999775,22.00580600000012,31.599677999999585
ad66e4a,wide,1000,1011,2,switch-back,42.553359000000455,0.9828809999999066,51.34767000000011,94.88391000000047
before,wide,1000,1011,2,cold,45.73853700000018,1.0955160000003161,638.3205779999998,685.1546310000003
before,wide,1000,1011,2,rebuild,7.514458999999988,0.9616159999995944,585.4532200000003,593.9292949999999
before,wide,1000,1011,2,switch-back,42.26670800000011,0.9772700000003169,720.1138979999996,763.357876
working,wide,1000,1011,2,cold,48.271044000000074,1.3047670000005382,312.3666210000001,361.94243200000074
working,wide,1000,1011,2,rebuild,8.532612999999401,0.975510000000213,6.465584999999919,15.973707999999533
working,wide,1000,1011,2,switch-back,45.092828999999256,1.3819730000013806,8.721926999998686,55.19672899999932
ad66e4a,wide,3900,3940,0,cold,62.533196000000316,4.214977999999974,93.33646399999998,160.08463800000027
ad66e4a,wide,3900,3940,0,rebuild,29.541440000000875,3.9125160000003234,69.92720599999848,103.38116199999968
